model	nDCGRendle2020
LightGCN_seed=123_e=200_bs=64_lr=0$00010346021980950854_factors=64_l_w=0$0005978035890731718_n_layers=3	0.09191108723208499
LightGCN_seed=123_e=200_bs=64_lr=0$00010449854983986446_factors=64_l_w=0$01607477996673987_n_layers=3	0.09198821941194743
LightGCN_seed=123_e=200_bs=64_lr=0$00017074473675942562_factors=64_l_w=0$002049610643584897_n_layers=3	0.09571512213613462
LightGCN_seed=123_e=200_bs=64_lr=0$0002208073380331132_factors=64_l_w=0$013657214222656406_n_layers=3	0.10167552772545446
LightGCN_seed=123_e=200_bs=64_lr=0$0003507478959683115_factors=64_l_w=0$012074840574752454_n_layers=3	0.10275558441468007
LightGCN_seed=123_e=200_bs=64_lr=0$0004367292566358644_factors=64_l_w=0$00012350367756093454_n_layers=3	0.100693497872441
LightGCN_seed=123_e=200_bs=64_lr=0$0005063901511667898_factors=64_l_w=0$02620517022644082_n_layers=3	0.10206868879619559
LightGCN_seed=123_e=200_bs=64_lr=0$0006643792970162354_factors=64_l_w=0$00016120354955054833_n_layers=3	0.10032154003939774
LightGCN_seed=123_e=200_bs=64_lr=0$0009865606656395377_factors=64_l_w=0$00020168308781172154_n_layers=3	0.09880206431756383
LightGCN_seed=123_e=200_bs=64_lr=0$0013865824668235253_factors=64_l_w=8$567506193684669e-05_n_layers=3	0.09882534606702296
LightGCN_seed=123_e=200_bs=64_lr=0$002207733364224528_factors=64_l_w=0$06416374197369942_n_layers=3	0.09828484855278857
LightGCN_seed=123_e=200_bs=64_lr=0$0024523481154271644_factors=64_l_w=0$024769137059383623_n_layers=3	0.09887695951862308
LightGCN_seed=123_e=200_bs=64_lr=0$002679150642829882_factors=64_l_w=1$6649269285015906e-05_n_layers=3	0.09731990025611702
LightGCN_seed=123_e=200_bs=64_lr=0$0027218036882765877_factors=64_l_w=0$02353017852313399_n_layers=3	0.09805053154042222
LightGCN_seed=123_e=200_bs=64_lr=0$002975032103506599_factors=64_l_w=6$656171337563793e-05_n_layers=3	0.09476561981815028
LightGCN_seed=123_e=200_bs=64_lr=0$0034248952744352482_factors=64_l_w=0$0005774610352728694_n_layers=3	0.09288891487333643
LightGCN_seed=123_e=200_bs=64_lr=0$00403021347075083_factors=64_l_w=0$022937487360530633_n_layers=3	0.09123319999357142
LightGCN_seed=123_e=200_bs=64_lr=0$004030503866665705_factors=64_l_w=0$07560613354895564_n_layers=3	0.09343828294882589
LightGCN_seed=123_e=200_bs=64_lr=0$004340135231589348_factors=64_l_w=0$0037337153721121855_n_layers=3	0.09632826311557416
LightGCN_seed=123_e=200_bs=64_lr=0$00439222614233103_factors=64_l_w=0$000652470917910296_n_layers=3	0.09689986930512208
