model	nDCGRendle2020	HR	Precision	Recall
base@16	0.1300624580689313	0.36075287556639946	0.060264900662251646	0.16697450940631048
base@2	0.01066015524104245	0.0512373649355176	0.0054722899965144655	0.01441983168038694
base@32	0.15876544848401014	0.4147786685256187	0.071906587661206	0.2063668942742849
base@4	0.004691216486386452	0.020216103171836877	0.0020913210177762286	0.004658717403854864
base@64	0.18080436586385878	0.44754269780411293	0.07964447542697804	0.22601852639182088
base@8	0.11477311783484652	0.3279888462879052	0.054165214360404314	0.14491136027548793
